,Equal_Weighted,Historical_RP,Method_A_ARMA,Method_A_XGBoost,Method_B_XGBoost,Method_C_XGBoost
2020-06-03,1.161238018770199,1.1930144056272656,1.0,1.1448508235865957,1.134365168247148,0.9378515951726063
2020-06-04,1.159674073282868,1.1880657315784537,1.0,1.1427835531969301,1.1314061800022168,0.9324388630611162
2020-06-05,1.1926098223944854,1.2131468859786647,1.0,1.1599796703042473,1.1485740962022948,0.9466397612626005
2020-06-08,1.2120354609050696,1.2268337071512962,1.0,1.1694043717116753,1.1580925313663055,0.953108365962855
2020-06-09,1.1961536440735967,1.2145732490124233,1.0,1.1611897337888035,1.1498795373810222,0.9449598781319958
2020-06-10,1.1891604707735062,1.2129112657957766,1.0,1.1594358407826575,1.1478604949258266,0.9416474693853557
2020-06-11,1.1099524713897178,1.1452059907603882,1.0,1.1137647225311285,1.1023952588209707,0.9004349448125348
2020-06-12,1.125798084108442,1.1534524155570425,1.0,1.1195987078542335,1.1087594709856041,0.9054714146969265
2020-06-15,1.128098184410828,1.1536199946978984,1.0,1.1191857680919424,1.1081228144183932,0.9094640805955905
2020-06-16,1.152219343305792,1.1777518257683413,1.0,1.1362000213657073,1.1250300745337516,0.9217369007747905
2020-06-17,1.1442096077555441,1.1713522196127348,1.0,1.1314733681210647,1.1201401218225566,0.9165684117494887
2020-06-18,1.1479013090871377,1.1757976851855607,1.0,1.1339977501091016,1.1226003565342308,0.9184675960194428
2020-06-19,1.1459072361420755,1.1770159001306353,1.0,1.1348156929962823,1.122687974338169,0.9123499405950275
2020-06-22,1.15353588507204,1.1824228404361443,1.0,1.1391926577071696,1.1271623951505498,0.9193734351129451
2020-06-23,1.1549844891110652,1.182737560926815,1.0,1.1406110512022625,1.128258582594421,0.9228790270350407
2020-06-24,1.1274294137171497,1.1585129398879703,1.0,1.1244874072553956,1.1126005422957599,0.9064032351310529
2020-06-25,1.135494209993951,1.1670386581436445,1.0,1.1303887858932156,1.1181180582813046,0.9124577366382809
2020-06-26,1.1040918271408606,1.136387606511019,1.0,1.110023135681457,1.0980667320550028,0.8930239653405642
2020-06-29,1.1302798155372584,1.1581836388222426,1.0,1.1242685074521417,1.1121446891567335,0.9020434345548424
2020-06-30,1.1409989234177036,1.1716723126846151,1.0,1.1335003720235257,1.1210200540829707,0.9069941916673864
2020-07-01,1.1472190285294606,1.1804805986807743,1.0,1.1403715057701909,1.1268977704513188,0.9145648358126581
2020-07-02,1.152995796421045,1.186260171339228,1.0,1.1444963823309247,1.130790354102803,0.9184173665015086
2020-07-06,1.1660580167476404,1.1977996880464976,1.0,1.1518120264347362,1.1378905518735671,0.9275023688074685
2020-07-07,1.152808078715627,1.1896739526488378,1.0,1.145374721221475,1.1296096906817321,0.9166631276244235
2020-07-08,1.155754235460548,1.191607551847658,1.0,1.1472748322486273,1.1318408551416057,0.92070913518187
2020-07-09,1.1407255920916433,1.1790899145158173,1.0,1.138502705844141,1.1229465183164862,0.9129625762225295
2020-07-10,1.1523475659497189,1.189040169917471,1.0,1.14508869032842,1.1292305266136426,0.9161106915940809
2020-07-13,1.1444035644760928,1.1815198382059227,1.0,1.1405096771115593,1.124479395068236,0.9071393739158069
2020-07-14,1.1632053513685696,1.1996931836404519,1.0,1.1526614737185603,1.1362046905914212,0.9159747128201178
2020-07-15,1.169632383431197,1.2047048162576557,1.0,1.1556800126791578,1.1395998567537944,0.9198801803692301
2020-07-16,1.1637952516314796,1.2019755089487842,1.0,1.1544323312658828,1.1378535927781543,0.9134525034218531
2020-07-17,1.164767349091346,1.204892028940373,1.0,1.1564185131284945,1.1392149287062558,0.9129505886271928
