Date,AMGN,BA,CRM,CVX,INTC,MRK,NKE,UNH,VZ,WMT
2014-08-06,90.44220733642578,102.90242004394531,53.11025619506836,75.59651184082031,25.0393009185791,37.083595275878906,32.87962341308594,67.25103759765625,26.624040603637695,19.866474151611328
2014-08-07,89.4886245727539,104.20674133300781,52.97228240966797,75.54842376708984,24.909725189208984,36.891300201416016,32.54290771484375,65.40264892578125,26.363914489746094,19.79953384399414
2014-08-08,90.34257507324219,104.8936767578125,53.65229797363281,76.87721252441406,24.848743438720703,37.49467849731445,32.845516204833984,66.11231231689453,26.39101219177246,19.992307662963867
2014-08-11,90.60587310791016,105.04150390625,54.076072692871094,76.78702545166016,25.168872833251953,37.567604064941406,32.845516204833984,65.90601348876953,26.374755859375,19.909317016601562
2014-08-12,90.32699584960938,104.75457763671875,51.986751556396484,76.4142074584961,25.252729415893555,37.812931060791016,32.704872131347656,66.1948471069336,26.46688461303711,19.871829986572266
2014-08-13,91.05635833740234,106.06758880615234,52.05573272705078,76.72086334228516,25.992094039916992,38.35662078857422,32.92652130126953,67.2593002319336,26.51023292541504,19.820955276489258
2014-08-14,94.2884750366211,107.91972351074219,52.73574447631836,76.3360595703125,25.87013053894043,38.97323989868164,32.94782638549805,67.51507568359375,26.553585052490234,19.917348861694336
2014-08-15,94.96063232421875,107.09365844726562,52.8540153503418,76.46339416503906,26.045446395874023,38.86052322387695,32.8753662109375,67.22627258300781,26.445207595825195,19.786157608032227
2014-08-18,95.26095581054688,108.6762466430664,53.593170166015625,76.58467102050781,26.228382110595703,38.734554290771484,33.480621337890625,67.94417572021484,26.434364318847656,19.944120407104492
2014-08-19,95.11793518066406,109.19796752929688,54.164772033691406,77.39114379882812,26.17502784729004,39.059444427490234,33.46357727050781,68.87659454345703,26.39101219177246,20.04853630065918
2014-08-20,94.87480926513672,110.737060546875,54.58854675292969,77.3062515258789,26.29698944091797,39.4373779296875,33.634063720703125,68.84361267089844,26.456043243408203,20.06995964050293
2014-08-21,94.76759338378906,110.86749267578125,54.9039192199707,77.57305908203125,26.792434692382812,39.0196647644043,33.6468505859375,69.12418365478516,26.483139038085938,20.22792625427246
2014-08-22,94.97494506835938,110.83269500732422,58.93474197387695,77.07583618164062,26.632362365722656,39.231834411621094,33.79603958129883,69.13243103027344,26.35849952697754,20.27611541748047
2014-08-25,96.38358306884766,111.58922576904297,58.37298583984375,77.51851654052734,26.533279418945312,39.60313034057617,34.1029167175293,69.51200103759766,26.634870529174805,20.265409469604492
2014-08-26,98.15695190429688,111.8239974975586,58.777061462402344,77.76708984375,26.525650024414062,39.91474914550781,33.877017974853516,70.2381591796875,26.689069747924805,20.219892501831055
2014-08-27,98.55741882324219,111.47615814208984,58.717918395996094,78.00360107421875,26.518030166625977,39.967796325683594,33.97932434082031,71.27786254882812,26.78660774230957,20.308250427246094
2014-08-28,99.17235565185547,110.52837371826172,57.446590423583984,78.07028198242188,26.411314010620117,39.78214645385742,33.6971435546875,71.24484252929688,26.775768280029297,20.321630477905273
2014-08-29,99.6657485961914,110.25881958007812,58.235008239746094,78.49474334716797,26.617124557495117,39.85508346557617,33.58171844482422,71.52540588378906,26.997953414916992,20.214536666870117
2014-09-02,98.65039825439453,109.11100769042969,58.9840202331543,77.3365707397461,26.350343704223633,39.642913818359375,33.893798828125,71.28611755371094,26.970857620239258,20.281476974487305
2014-09-03,99.09371185302734,109.51100158691406,58.17588806152344,77.5306396484375,26.350343704223633,40.10041427612305,33.6971435546875,71.61619567871094,27.030473709106445,20.351085662841797
2014-09-04,98.68611145019531,109.0936050415039,58.225162506103516,76.88789367675781,26.6094970703125,39.8351936340332,34.167415618896484,71.83897399902344,26.943761825561523,20.49834632873535
2014-09-05,98.59317016601562,108.42405700683594,58.94458770751953,77.25171661376953,26.6781005859375,40.56452178955078,35.073768615722656,72.4083251953125,27.062992095947266,20.752696990966797
2014-09-08,99.58712005615234,111.2848892211914,59.48664093017578,76.53009796142578,26.929645538330078,40.47833251953125,35.22766876220703,72.54035949707031,26.840797424316406,20.490314483642578
2014-09-09,98.24279022216797,111.48486328125,58.79676818847656,75.90553283691406,26.6094970703125,40.1534538269043,34.988250732421875,73.07671356201172,26.499399185180664,20.54653549194336
2014-09-10,99.52987670898438,111.49356842041016,59.82171630859375,75.35981750488281,26.69333839416504,40.28605270385742,35.25758743286133,72.3019027709961,26.418119430541992,20.484960556030273
2014-09-11,99.36544799804688,110.98922729492188,60.324344635009766,75.08694458007812,26.69333839416504,40.13911819458008,34.97971725463867,72.1610107421875,26.558998107910156,20.375185012817383
2014-09-12,98.60028839111328,110.3892593383789,58.392704010009766,74.37751770019531,26.388452529907227,39.771793365478516,34.988250732421875,71.41521453857422,26.22844886779785,20.286832809448242
2014-09-15,98.65753173828125,109.83273315429688,56.73701095581055,75.33553314208984,26.327478408813477,39.75176239013672,34.889930725097656,71.29093933105469,26.315143585205078,20.29754066467285
2014-09-16,99.62999725341797,110.71098327636719,56.77642822265625,75.77214050292969,26.6247501373291,40.06565475463867,34.71463394165039,72.22731018066406,26.53190803527832,20.434085845947266
2014-09-17,100.61680603027344,111.09358215332031,56.61874771118164,75.62663269042969,26.662853240966797,39.9921875,34.84716796875,72.08646392822266,26.667390823364258,20.412668228149414
2014-09-18,101.55350494384766,111.80660247802734,56.82570266723633,75.27490997314453,26.80768585205078,40.27937316894531,35.04384231567383,72.61678314208984,26.927507400512695,20.40730857849121
2014-09-19,102.97649383544922,112.47618865966797,57.397315979003906,75.67510986328125,26.540903091430664,40.399600982666016,34.975433349609375,72.7576675415039,27.285165786743164,20.573305130004883
2014-09-22,101.66790771484375,111.83270263671875,56.490623474121094,74.88077545166016,26.457050323486328,40.4597053527832,34.50515365600586,72.7327880859375,27.19304656982422,20.431407928466797
2014-09-23,100.59529876708984,110.76316833496094,55.988006591796875,74.62005615234375,26.23600196838379,40.259342193603516,34.252925872802734,71.7549819946289,27.046724319458008,20.241313934326172
2014-09-24,101.71086120605469,111.80660247802734,56.82570266723633,74.21981811523438,26.487546920776367,40.31277847290039,34.560726165771484,73.09744262695312,27.13343620300293,20.6375675201416
2014-09-25,100.00184631347656,110.554443359375,55.110877990722656,73.17691040039062,26.022579193115234,39.8318977355957,34.094722747802734,71.41521453857422,26.8841609954834,20.380537033081055
2014-09-26,100.86707305908203,111.90225982666016,55.74162673950195,73.65589141845703,26.11404800415039,39.66493606567383,38.263065338134766,71.76323699951172,26.970857620239258,20.479604721069336
2014-09-29,100.15914154052734,111.9718246459961,56.40192794799805,73.0980224609375,26.601879119873047,39.67829895019531,38.100608825683594,71.68866729736328,26.96001625061035,20.369831085205078
2014-09-30,100.43801879882812,110.76316833496094,56.69758224487305,72.35220336914062,26.540903091430664,39.59145736694336,38.13481521606445,71.47325134277344,27.090084075927734,20.47425079345703
2014-10-01,99.26535034179688,108.40666961669922,55.90916061401367,71.3395767211914,25.908252716064453,39.21077346801758,37.493526458740234,70.33793640136719,26.78660774230957,20.380537033081055
2014-10-02,98.1069107055664,107.971923828125,55.820465087890625,71.01211547851562,25.550004959106445,39.30428695678711,38.177555084228516,70.35450744628906,26.710739135742188,20.409990310668945
2014-10-03,99.50128936767578,109.87620544433594,57.61412811279297,71.37594604492188,25.938737869262695,40.005558013916016,38.60080337524414,71.28263092041016,26.938343048095703,20.701828002929688
2014-10-06,98.40010070800781,109.7892837524414,57.45644760131836,71.6063461303711,25.999713897705078,39.79182434082031,38.14335632324219,70.51200103759766,27.13884735107422,20.709863662719727
2014-10-07,97.27029418945312,107.23275756835938,56.08656311035156,70.35118865966797,25.51189422607422,39.04381561279297,37.651702880859375,69.76614379882812,26.922090530395508,20.696475982666016
2014-10-08,100.15914154052734,108.6762466430664,57.062232971191406,71.5214614868164,26.121665954589844,40.192562103271484,37.976619720458984,71.77984619140625,27.327587127685547,20.948150634765625
2014-10-09,98.37862396240234,106.7458267211914,56.30337905883789,69.43557739257812,25.626220703125,39.54472732543945,37.29257583618164,70.38764953613281,26.812488555908203,20.84640884399414
2014-10-10,98.24279022216797,105.65019989013672,53.97751998901367,69.05960083007812,24.32280158996582,39.177391052246094,37.27548599243164,70.76055908203125,26.817974090576172,20.961536407470703
2014-10-13,95.50407409667969,104.73716735839844,52.459800720214844,67.93175506591797,23.987422943115234,37.494346618652344,36.50594711303711,69.56724548339844,26.505619049072266,20.766084671020508
2014-10-14,94.53158569335938,106.3371353149414,51.957183837890625,66.56742095947266,24.49811553955078,37.621253967285156,36.37769317626953,68.6308822631836,26.423423767089844,20.878541946411133
2014-10-15,93.60199737548828,104.51107025146484,52.32183074951172,66.2581787109375,23.84259605407715,36.55264663696289,36.416168212890625,68.08396911621094,26.259033203125,20.134218215942383
2014-10-16,93.28022766113281,104.5980453491211,53.09054183959961,67.34356689453125,23.514841079711914,35.68440628051758,37.21135711669922,70.76055908203125,26.122037887573242,19.764732360839844
2014-10-17,95.5970458984375,107.16322326660156,54.82508087158203,67.79228973388672,23.918821334838867,36.078453063964844,37.271217346191406,73.07256317138672,26.341238021850586,19.83969497680664
2014-10-20,98.32858276367188,108.0936279296875,55.21928787231445,67.60432434082031,24.071273803710938,36.09849166870117,38.00654983520508,73.37089538574219,26.565906524658203,20.11815643310547
2014-10-21,103.03372192382812,110.53706359863281,56.41178512573242,69.78727722167969,24.856369018554688,36.81980895996094,38.75044250488281,75.36800384521484,26.68097686767578,20.353757858276367
2014-10-22,102.71192932128906,105.60671997070312,55.43610382080078,69.12631225585938,24.597204208374023,37.073585510253906,38.41698455810547,74.3901596069336,26.472745895385742,20.35643768310547
2014-10-23,105.29329681396484,106.11104583740234,57.04252624511719,70.45426177978516,24.917343139648438,37.82160186767578,38.63500213623047,75.12767791748047,26.423423767089844,20.415348052978516
2014-10-24,105.30047607421875,106.29364776611328,58.708072662353516,70.28446960449219,25.29084014892578,38.476112365722656,38.86157989501953,75.93978118896484,26.724817276000977,20.450153350830078
2014-10-27,105.97264862060547,106.18931579589844,58.25471878051758,69.74481201171875,25.306081771850586,37.70139694213867,39.17795944213867,76.3458251953125,27.08100128173828,20.506378173828125
2014-10-28,112.40105438232422,107.48494720458984,60.639713287353516,71.02425384521484,25.717697143554688,37.3006706237793,39.52423858642578,76.76847076416016,27.376907348632812,20.442113876342773
2014-10-29,113.60953521728516,107.02408599853516,60.08781814575195,71.03033447265625,25.85488510131836,37.534423828125,39.31048583984375,77.03363800048828,27.305665969848633,20.452829360961914
2014-10-30,115.54016876220703,107.66755676269531,60.826961517333984,71.06669616699219,24.8335018157959,38.27576446533203,39.75937271118164,77.79601287841797,27.344024658203125,20.468896865844727
2014-10-31,115.96924591064453,108.61536407470703,63.06411361694336,72.7342300415039,25.923492431640625,38.69651412963867,39.746559143066406,78.732421875,27.535825729370117,20.420700073242188
2014-11-03,115.52592468261719,109.58924865722656,62.66990280151367,70.81202697753906,26.152164459228516,39.35102081298828,39.95176315307617,78.6081314086914,27.61254119873047,20.42337417602539
2014-11-04,114.70361328125,109.42403411865234,62.65019226074219,69.9570541381836,26.327478408813477,39.65158462524414,40.1655387878418,78.70758819580078,27.579662322998047,20.685762405395508
2014-11-05,113.65243530273438,108.64563751220703,61.014217376708984,70.97573852539062,25.901660919189453,39.785152435302734,40.47761535644531,79.3870620727539,27.58514976501465,20.803569793701172
2014-11-06,114.6606674194336,108.96050262451172,62.17713928222656,71.87317657470703,25.947694778442383,39.57811737060547,40.44340896606445,79.72682189941406,27.552261352539062,20.833024978637695
2014-11-07,114.58914184570312,108.84678649902344,63.044410705566406,72.03689575195312,25.763559341430664,39.63154602050781,40.09285354614258,77.57228088378906,27.87009048461914,21.090057373046875
2014-11-10,117.06553649902344,109.0129623413086,63.51744842529297,71.50328063964844,25.518049240112305,39.27756118774414,40.59731674194336,78.51692962646484,27.79336929321289,21.26944351196289
2014-11-11,116.58464050292969,109.64270782470703,63.13310241699219,71.818603515625,25.556406021118164,39.65158462524414,40.563114166259766,79.29590606689453,27.73309898376465,21.154314041137695
2014-11-12,116.23291778564453,110.08876037597656,62.847293853759766,71.3395767211914,25.610118865966797,39.61149978637695,40.96072006225586,79.28760528564453,27.84817123413086,21.205190658569336
2014-11-13,115.45767211914062,112.41523742675781,62.24612045288086,70.61192321777344,25.840282440185547,39.765113830566406,41.093238830566406,79.46992492675781,28.056396484375,22.20653533935547
2014-11-14,113.18224334716797,112.70387268066406,62.985267639160156,71.18721008300781,26.047439575195312,39.45121765136719,40.82819366455078,78.8152847290039,28.220802307128906,22.211894989013672
2014-11-17,114.23027038574219,112.31905364990234,61.60552215576172,70.83837127685547,26.269929885864258,39.711692810058594,41.06758499145508,79.94229125976562,28.165992736816406,22.375221252441406
2014-11-18,116.45548248291016,114.27819061279297,61.56610870361328,70.66699981689453,26.63052749633789,39.998870849609375,41.24287796020508,81.36761474609375,28.067367553710938,22.434125900268555
2014-11-19,116.74253845214844,115.10907745361328,60.137088775634766,71.27899169921875,26.354328155517578,39.8318977355957,41.44809341430664,80.26546478271484,27.667327880859375,22.755413055419922
2014-11-20,116.7712631225586,115.18780517578125,57.45644760131836,71.7930908203125,27.58188819885254,39.65825271606445,41.59772491455078,80.25718688964844,27.502927780151367,22.645639419555664
2014-11-21,116.86459350585938,116.13239288330078,57.34803771972656,72.57032775878906,27.305700302124023,39.84525680541992,41.64902877807617,80.14117431640625,27.51390266418457,22.664379119873047
